verdict,slug,errM,test,subject,relation,direction,anchorKind,anchorName,negated,hedged,surfaces,quote,text
"not-checkable","jarvie-crescent-milton","","","","anchor-compass","north","commercial-corridor","the main commercial corridors","false","false","hero ld-place sec:about","north of the main commercial corridors","Jarvie Crescent is a residential crescent in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main commercial corridors."
"not-checkable","fireweed-gate-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Fireweed Gate is a short residential street in Milton's Walker neighbourhood, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
"no-geometry","fireweed-gate-milton","","","","anchor-compass","north","road","the main east-west corridors","false","false","hero ld-place sec:about","north of the main east-west corridors","Fireweed Gate is a short residential street in Milton's Walker neighbourhood, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
"not-refuted","fireweed-gate-milton","-2900","T1 town","street","town-compass","west","town","Milton","false","false","sec:gettingAround","The street's western Milton placement","The street's western Milton placement keeps the drive to the GO lot short and the highway reach uncomplicated, without a cross-town crawl at either end."
"not-refuted","ezard-crescent-milton","-2490","T1 town","street","town-compass","east","town","Milton","false","false","sec:about","Ezard sits in the eastern half of Milton","For anyone mapping the town, Ezard sits in the eastern half of Milton, close to the commercial and retail spine that runs along the highway."
"not-checkable","ezard-crescent-milton","","","","proximity","none","commercial-corridor","the commercial and retail spine that runs along the highway","false","false","sec:about","close to the commercial and retail spine that runs along the highway","For anyone mapping the town, Ezard sits in the eastern half of Milton, close to the commercial and retail spine that runs along the highway."
"not-checkable","livock-trail-milton","","","","anchor-compass","west","commercial-corridor","the main commercial spine","false","false","hero ld-place sec:about","sits west of the main commercial spine","Livock Trail is a residential street in Milton's Coates neighbourhood, a pocket of the town that sits west of the main commercial spine and north of the greenbelt that separates Milton from its southern neighbours."
"not-checkable","livock-trail-milton","","","","anchor-compass","north","water/park","the greenbelt","false","false","hero ld-place sec:about","north of the greenbelt that separates Milton from its southern neighbours","Livock Trail is a residential street in Milton's Coates neighbourhood, a pocket of the town that sits west of the main commercial spine and north of the greenbelt that separates Milton from its southern neighbours."
"not-checkable","livock-trail-milton","","","","other-position","south","town","Milton","false","false","hero ld-place sec:about","the greenbelt that separates Milton from its southern neighbours","Livock Trail is a residential street in Milton's Coates neighbourhood, a pocket of the town that sits west of the main commercial spine and north of the greenbelt that separates Milton from its southern neighbours."
"not-refuted","pearen-avenue-milton","428","T1 downtown","polygon:Timberlea","anchor-compass","west","downtown","the town centre","false","false","hero ld-place sec:about","sits west of the town centre","Pearen Avenue is a residential street in Milton's Timberlea neighbourhood, a part of town that sits west of the town centre and north of the escarpment line."
"not-checkable","pearen-avenue-milton","","","","anchor-compass","north","escarpment","the escarpment line","false","false","hero ld-place sec:about","north of the escarpment line","Pearen Avenue is a residential street in Milton's Timberlea neighbourhood, a part of town that sits west of the town centre and north of the escarpment line."
"negated-not-judged","hilson-heights-milton","","","","other-position","none","neighbourhood","Cobban","true","false","sec:about","rather than its historic core","The street carries the name of a local family whose land once formed part of this corner of the grid, and the address reads as a marker of the neighbourhood's newer edge rather than its historic core."
"not-checkable","hilson-heights-milton","","","","proximity","none","road","the town's main arterial routes","false","false","sec:about","It sits within reach of the town's main arterial routes","It sits within reach of the town's main arterial routes, with the escarpment country opening to the south and the built-up centre of Milton to the north."
"not-checkable","hilson-heights-milton","","","","anchor-compass","north","escarpment","the escarpment country","false","false","sec:about","with the escarpment country opening to the south","It sits within reach of the town's main arterial routes, with the escarpment country opening to the south and the built-up centre of Milton to the north."
"not-refuted","hilson-heights-milton","-4622","T1 downtown","street","anchor-compass","south","downtown","the built-up centre of Milton","false","false","sec:about","the built-up centre of Milton to the north","It sits within reach of the town's main arterial routes, with the escarpment country opening to the south and the built-up centre of Milton to the north."
